"stagadenn","lec_hanv","kumun","insee","rummad","dibab","deiziad_degemer","niv"
"Moulin de","Ty Men","Pleiben",29162,"Monumant","Meilh Ti Men",05/04/2019,151730
,"Kerafaouis","Pleiben",29162,"Kêriadenn","Keranfaouiz",05/04/2019,13991
,"Pennoc'h","Pleiben",29162,"Kêriadenn","Pennoc'h",05/04/2019,99577
"Rue des","Ardoisiers","Pleiben",29162,"Hent","Straed ar Vengleuzierien",05/04/2019,151678
"Moulin de la","Bouexiere (1)","Pleiben",29162,"Kêriadenn","Meilh ar Vuzid",05/04/2019,2907
"Manoir de la","Bouexiere","Pleiben",29162,"Monumant","Maner ar Vuzid",05/04/2019,95188
"Bois de la","Bouexiere","Pleiben",29162,"Koad","Koad ar Vuzid",05/04/2019,151736
"Moulin du","Chantre","Pleiben",29162,"Monumant","Meilh ar Chantr",05/04/2019,2910
,"Croix Nu","Pleiben",29162,"Kêriadenn","Kroaz Nu",05/04/2019,2743
,"Gazellien","Pleiben",29162,"Kêriadenn","Gazellien",05/04/2019,13970
,"Goarem Kreis","Pleiben",29162,"Kêriadenn","Gwaremm Greiz",05/04/2019,2767
,"Guenily","Pleiben",29162,"Kêriadenn","Gwenili",05/04/2019,2776
,"Garsaven","Pleiben",29162,"Kêriadenn","Garzhawenn",05/04/2019,13962
,"Keragliz","Pleiben",29162,"Kêriadenn","Keragliz",05/04/2019,2784
,"Keraguden","Pleiben",29162,"Kêriadenn","Kerguden",05/04/2019,14007
,"Keraprat Creis","Pleiben",29162,"Kêriadenn","Keraprad Kreiz",05/04/2019,151772
,"Keraprat Vian","Pleiben",29162,"Kêriadenn","Keraprad Vihan",05/04/2019,2788
,"Kerguillou","Pleiben",29162,"Kêriadenn","Kergwilhoù",05/04/2019,14014
,"Kergenaoued Vraz","Pleiben",29162,"Kêriadenn","Kergenaoued Vras",05/04/2019,2815
,"Kergenaoued Vihan","Pleiben",29162,"Kêriadenn","Kergenaoued Vihan",05/04/2019,151917
,"Kerhéol Avelet","Pleiben",29162,"Kêriadenn","Kerheol Avelet",05/04/2019,2781
,"Keriliou","Pleiben",29162,"Kêriadenn","Kerilioù",05/04/2019,14001
,"Kermez","Pleiben",29162,"Kêriadenn","Kervez",05/04/2019,2834
,"Kerpaugam","Pleiben",29162,"Kêriadenn","Kêr Paogamm",05/04/2019,2846
,"Kerzerrien","Pleiben",29162,"Kêriadenn","Kerzerien",05/04/2019,13983
,"Ty Nevez Kerzerrien","Pleiben",29162,"Kêriadenn","Tier Nevez Kerzerien",05/04/2019,2998
"Chapelle de","Lannelec","Pleiben",29162,"Monumant","Chapel Itron-Varia Lanneleg",05/04/2019,91737
,"Ty Rouz","Pleiben",29162,"Kêriadenn","Ti Rous",05/04/2019,1949
"Ruisseau du","Vernic","Pleiben",29162,"Dour","Stêr ar Wernig",05/04/2019,8564
,"Kervern","Pleiben",29162,"Kêriadenn","Kerwern",05/04/2019,2855
,"Kerantamant","Pleiben",29162,"Kêriadenn","Kerantamant",05/04/2019,2785
,"Kerossant","Pleiben",29162,"Kêriadenn","Kerosant",05/04/2019,2841
,"Kervilou","Pleiben",29162,"Kêriadenn","Kerviloù",05/04/2019,2857
,"Pennaprat","Pleiben",29162,"Kêriadenn","Penn ar Prad",05/04/2019,2932
,"Perennou","Pleiben",29162,"Kêriadenn","Perennoù",05/04/2019,2941
,"Stervillou","Pleiben",29162,"Kêriadenn","Sterwilhoù",05/04/2019,2975
,"Garsabic Vian","Pleiben",29162,"Kêriadenn","Garzhabik Vihan",05/04/2019,2333
"Rue","Maréchal Joffre","Naoned",44109,"Hent","Straed Marichal Joffre",03/04/2019,142897
"Rue de","Mourzouk","Naoned",44109,"Hent","Straed Mourzouk",03/04/2019,142931
,"Kerscoazec","Molan",29150,"Kêriadenn","Kerskoazeg",03/04/2019,68816
,"Kercarn","Molan",29150,"Kêriadenn","Kerkarn",03/04/2019,68746
